0.000	0.427	N
0.427	2.133	G
2.133	3.733	B:7
3.733	5.137	E:min
5.137	6.941	G:7
6.941	8.605	C
8.605	9.336	F
9.336	10.141	C
10.141	11.726	G
11.726	13.342	D/3
13.342	14.901	E:min
14.901	15.720	B:min
15.720	16.524	G
16.524	18.135	C
18.135	19.731	A:min7
19.731	22.940	D
22.940	24.528	G
24.528	26.141	B
26.141	27.713	E:min
27.713	29.304	G:7
29.304	32.493	A:min
32.493	35.724	D
35.724	37.317	C
37.317	38.933	A/3
38.933	40.519	G
40.519	42.098	E:min
42.098	43.712	D
43.712	45.314	B/5
45.314	46.909	E:min
46.909	48.525	D#:aug
48.525	50.125	G/5
50.125	51.717	A/3
51.717	54.869	C:maj6
54.869	58.093	D
58.093	59.685	G
59.685	61.324	B:7
61.324	62.901	E:min
62.901	64.533	G:7
64.533	66.107	A:min
66.107	68.024	D
68.024	70.141	C
70.141	71.672	A/3
71.672	72.854	G
72.854	74.053	E:min
74.053	74.877	B:min
74.877	75.701	G
75.701	77.293	C
77.293	78.884	A/3
78.884	82.101	G
82.101	84.023	E:min
84.023	86.495	D
86.495	88.023	B/5
